idamostra;idade1;hdom1;licl4;lscl4;lscl3;lscl2;lscl1;is;nmudou;nis;s
174;20,66;13,25183578;4,01912785;6,22867834;9,27880435;13,37406938;18,74568361;2;1;2;28
174;33,25;19,47980065;8,704957935;11,57421408;14,99865677;19,02384309;23,69483855;1;1;1;30,3
174;44,91;21,31038457;13,23443263;16,19425674;19,45840941;23,02789558;26,90363974;2;1;2;28
174;57,69;26,26489975;17,83050609;20,56621568;23,41809352;26,38041013;29,44816062;2;1;2;28
174;69,38;28,63272026;21,48127156;23,87883276;26,29176532;28,71882671;31,15896617;2;1;2;28
175;20,66;12,49572503;4,01912785;6,22867834;9,27880435;13,37406938;18,74568361;2;0;2;28
175;33,25;17,90788619;8,704957935;11,57421408;14,99865677;19,02384309;23,69483855;2;0;2;28
175;44,91;20,33539965;13,23443263;16,19425674;19,45840941;23,02789558;26,90363974;2;0;2;28
175;57,69;25,92663968;17,83050609;20,56621568;23,41809352;26,38041013;29,44816062;2;0;2;28
175;69,38;28,71231086;21,48127156;23,87883276;26,29176532;28,71882671;31,15896617;2;0;2;28
176;33,25;18,26604392;8,704957935;11,57421408;14,99865677;19,02384309;23,69483855;2;1;2;28
176;44,91;22,46444835;13,23443263;16,19425674;19,45840941;23,02789558;26,90363974;2;1;2;28
176;57,69;27,04090815;17,83050609;20,56621568;23,41809352;26,38041013;29,44816062;1;1;1;30,3
176;69,38;28,99087798;21,48127156;23,87883276;26,29176532;28,71882671;31,15896617;1;1;1;30,3
177;24,08;14,98293145;5,219507186;7,680558294;10,91486603;15,06653916;20,29129268;2;1;2;28
177;36,1;21,40987283;9,821130117;12,74967425;16,16627627;20,09962554;24,57751545;1;1;1;30,3
177;48,52;23,79759098;14,58708277;17,50836218;20,67136916;24,07267592;27,70918189;2;1;2;28
177;60,02;27,80696773;18,60365565;21,2781744;24,04399546;26,89595177;29,82956297;1;1;1;30,3
177;71,68;30,7418713;22,1313404;24,45648017;26,78337776;29,11188238;31,44186717;1;1;1;30,3
