"";"idamostra";"idade1";"hdom1";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
"487";124;82,19;32,1347068898426;24,8193614795469;26,8106556907029;28,7607339805735;30,6739063494576;32,5537270167962;1;1;1
"488";124;86,53;32,4829157880298;25,7989895363278;27,655820533636;29,4609563997153;31,2201265690772;32,9380240037944;1;1;1
"489";125;22,17;14,0079465327859;4,53915202320003;6,86693222701848;10,0075577221907;14,137011306903;19,4500785709043;2;1;2
"490";125;35,05;19,81806071968;9,40959217662536;12,3195261537823;15,7419283832588;19,7111264545746;24,2606232768848;1;1;1
"491";125;46,68;24,3746228731005;13,9021737679856;16,846138301148;20,0627768811215;23,5505685276303;27,3081259088493;1;1;1
"492";125;61,17;28,3342554867715;18,9770757616658;21,6199296804669;24,3427623461131;27,1407767123892;30,0098276035931;1;1;1
"493";125;69,84;31,2194149288936;21,6130897867672;23,9962426121963;26,391902779299;28,799046541189;31,2168090732562;1;1;1
"494";126;22,17;15,4206797768595;4,53915202320003;6,86693222701848;10,0075577221907;14,137011306903;19,4500785709043;1;0;1
"495";126;35,05;20,4945808647294;9,40959217662536;12,3195261537823;15,7419283832588;19,7111264545746;24,2606232768848;1;0;1
"496";126;46,68;24,2751346164756;13,9021737679856;16,846138301148;20,0627768811215;23,5505685276303;27,3081259088493;1;0;1
"497";126;61,17;28,3342554867715;18,9770757616658;21,6199296804669;24,3427623461131;27,1407767123892;30,0098276035931;1;0;1
"498";126;69,84;30,3439182705944;21,6130897867672;23,9962426121963;26,391902779299;28,799046541189;31,2168090732562;1;0;1
"499";126;82,19;31,0701825439562;24,8193614795469;26,8106556907029;28,7607339805735;30,6739063494576;32,5537270167962;1;0;1
"500";126;86,53;32,6321481729671;25,7989895363278;27,655820533636;29,4609563997153;31,2201265690772;32,9380240037944;1;0;1
"501";127;46,81;17,7586538075446;13,9508852036005;16,8934466158006;20,106430097727;23,5881573773087;27,3370985813432;3;0;3
"502";127;58,41;20,7930456346041;18,0717622825221;20,7890227653517;23,6144856522602;26,5425645586111;29,5683910090559;3;0;3
"503";127;67,81;24,1955440111756;21,0245652573123;23,470934548705;25,9430081916848;28,4388005062847;30,9566259770083;3;0;3
"504";128;46,81;17,9874767977819;13,9508852036005;16,8934466158006;20,106430097727;23,5881573773087;27,3370985813432;3;1;3
"505";128;58,41;20,6935573779792;18,0717622825221;20,7890227653517;23,6144856522602;26,5425645586111;29,5683910090559;4;1;4
"506";128;67,81;24,7725758996;21,0245652573123;23,470934548705;25,9430081916848;28,4388005062847;30,9566259770083;3;1;3
"507";129;24,01;15,1122661813223;5,19417688254228;7,65065958031987;10,8819207163783;15,0331564499758;20,2613883389293;1;1;1
"508";129;37,02;21,2904869177286;10,1816095032163;13,1235242788894;16,5324740155481;20,4327086642125;24,8475746852436;1;1;1
"509";129;49,67;24,324878744788;15,0099313575966;17,9141192349739;21,0417017882403;24,388376987556;27,9502727143642;2;1;2
"510";129;61,27;27,5284006081098;19,0092884396268;21,6493480323574;24,3684303809902;27,1617729858909;30,0252617376812;1;1;1
"511";129;70,66;29,4783704379578;21,8458310852643;24,2031983883033;26,5681450673979;28,9400372539079;31,3183404764083;1;1;1
"512";130;37,02;19,8678048479925;10,1816095032163;13,1235242788894;16,5324740155481;20,4327086642125;24,8475746852436;2;0;2
"513";130;49,67;23,0812755369768;15,0099313575966;17,9141192349739;21,0417017882403;24,388376987556;27,9502727143642;2;0;2
