"idarvore";"dap";"ht";"hi";"dicc";"vcc"
38804;21,3;27,8;10;16;0,279979522686086
38804;21,3;27,8;12;14,2;0,315922484235807
38804;21,3;27,8;14;13;0,34503248176397
38804;21,3;27,8;16;11,7;0,369057026184134
38804;21,3;27,8;18;10,3;0,388140630758365
38804;21,3;27,8;20;8,8;0,402555043251199
38804;21,3;27,8;22;7,4;0,412938006971313
38804;21,3;27,8;24;4,9;0,419124588304395
38804;21,3;27,8;25,64;3;0,421250519761042
38804;21,3;27,8;27,8;0;0,421759457770924
38805;15,5;27,1;0,1;17,3;0,00235061816323222
38805;15,5;27,1;0,7;16,3;0,0156626457939209
38805;15,5;27,1;1,3;15,5;0,0275835761976001
38805;15,5;27,1;2;14,9;0,0402906116230237
38805;15,5;27,1;4;14,3;0,0737878432919249
38805;15,5;27,1;6;13,7;0,104589588464046
38805;15,5;27,1;8;12,9;0,13240053742995
38805;15,5;27,1;10;11,9;0,156592371658918
38805;15,5;27,1;12;10,9;0,177045710630114
38805;15,5;27,1;14;9,9;0,194074713608898
38805;15,5;27,1;16;9;0,208134126131875
38805;15,5;27,1;18;8;0,219522399501138
38805;15,5;27,1;20;6,7;0,228074600102373
38805;15,5;27,1;22;5,5;0,233976081902142
38805;15,5;27,1;24;3,7;0,23742712143211
38805;15,5;27,1;24,7428571428571;3;0,238089032564274
38805;15,5;27,1;27,1;0;0,238644421265534
38807;18,2;27,6;0,1;21,1;0,00349667116326178
38807;18,2;27,6;0,7;19,2;0,0226725600216922
38807;18,2;27,6;1,3;18,2;0,0391630940196504
38807;18,2;27,6;2;17,2;0,0564008558302649
38807;18,2;27,6;4;16;0,0997422680791896
38807;18,2;27,6;6;14,8;0,137051822433222
38807;18,2;27,6;8;14;0,16964898780687
38807;18,2;27,6;10;12,8;0,197910755318564
38807;18,2;27,6;12;11,7;0,221530034286415
38807;18,2;27,6;14;10,9;0,241612665324488
38807;18,2;27,6;16;9,6;0,258182210377684
38807;18,2;27,6;18;8,5;0,271094941582101
38807;18,2;27,6;20;7,2;0,2808409473917
38807;18,2;27,6;22;6,1;0,287834918036754
38807;18,2;27,6;24;4,7;0,292492329145701
38807;18,2;27,6;25,5130434782609;3;0,29433960611466
38807;18,2;27,6;27,6;0;0,294831333660439
38808;18,1;28,3;0,1;21,4;0,00359680942909495
38808;18,1;28,3;0,7;19,1;0,0229828708360505
38808;18,1;28,3;1,3;18,1;0,0392976327250403
38808;18,1;28,3;2;17,7;0,0569152916272902
38808;18,1;28,3;4;16,1;0,101879336481794
38808;18,1;28,3;6;15,3;0,14062302788219
38808;18,1;28,3;8;14,4;0,175294429805371
38808;18,1;28,3;10;13,5;0,205894327649499
38808;18,1;28,3;12;12,5;0,232480055480502
38808;18,1;28,3;14;11,6;0,255320219470263
38808;18,1;28,3;16;10,5;0,274547551908396
38808;18,1;28,3;18;9,5;0,290294785084515
38808;18,1;28,3;20;8,3;0,302793611456822
38808;18,1;28,3;22;6,8;0,311835900512017
