"idfustemed";"ntorasicc";"sdtorasicc";"dminicc";"toraminicc";"vtocoi";"vprodicc";"vti"
5028;5;69,64281286823;8,8135884572926;3,3;0,00322949021674592;0,26279267699702;0,285925026904322
5029;5;59,9935006830513;7,55815240232966;3,2;0,00241701898296793;0,194690467947479;0,21132288842127
5030;5;60,8081494236597;7,63378907827519;3,3;0,00247769092412363;0,200565044735639;0,217539668521607
5031;5;57,6363345110192;7,67439475475573;2,3;0,0022318085084606;0,174451542266729;0,192664797399148
5032;5;67,3966664138367;8,72488249275472;3,3;0,00297015626409104;0,245369591417471;0,26952546595429
5033;5;59,5565436809392;7,65333935768297;2,9;0,00237997149673732;0,190003159068226;0,20747045309297
5034;5;56,9540845816559;7,57003388769392;2,3;0,00218287249863544;0,170409644053078;0,188038498475688
5035;4;45,4960899576716;8,25257108293857;3,3;0,00192463734837814;0,138126112415526;0,162746641619207
5036;5;61,7553062096217;7,7685204708379;3,3;0,00255141396608958;0,20680493152874;0,224482154019292
5037;5;59,1191805127135;7,58533955146056;2,9;0,00234818346723264;0,187269997561229;0,204353586555028
5038;5;64,7761809625824;8,23636496741219;3,3;0,00278352553325196;0,227204368955737;0,247670952344561
5039;5;60,5025199398653;7,5735406898851;3,3;0,00245835472935795;0,198631207228004;0,215208434818141
5040;5;61,4511720647714;7,7208251846414;3,3;0,00252875624150402;0,204806694583642;0,222209362198083
5041;5;62,0122315861472;7,80716837230209;3,3;0,00257105682160427;0,208506508084611;0,226399706047177
5042;6;85,5904858561494;7,751284009576;3,3;0,00374952237650087;0,336768343538467;0,351291680579893
5043;5;57,8305445300007;7,54692233069049;2,6;0,00225021069231103;0,177486691040115;0,194667605211241
5044;5;58,8536058210336;7,54241879898569;2,9;0,00232940407754699;0,185626594065879;0,202462016368781
5045;4;46,6465559333062;8,49897301077483;3,3;0,00201532762319627;0,145128318451812;0,171602488101832
5046;4;45,5970089206211;8,27319928895297;3,3;0,00193270973353118;0,138735220196144;0,163500392394869
5047;4;43,6530852275645;7,85734861678615;3,3;0,00178387295463636;0,127272948443763;0,149070473035629
5048;5;55,778934390418;7,53935227794454;2;0,00209685561288695;0,161798997661453;0,179548033432282
5049;5;61,889992134005;7,78862308637385;3,3;0,00256174231168374;0,207696628614009;0,225485187493599
