"arvore";"cap";"ht";"hi";"dicc";"espcasca"
1102;51,99;24,7;0,1;20,05;1,3585
1102;51,99;24,7;0,7;17,35;0,945
1102;51,99;24,7;1,3;16,55;0,818
1102;51,99;24,7;2,5;15,98;0,8045
1102;51,99;24,7;3,7;15,69;0,6105
1102;51,99;24,7;4,9;15,28;0,4135
1102;51,99;24,7;6,1;14,2;0,414
1102;51,99;24,7;7,3;13,94;0,4605
1102;51,99;24,7;8,5;13,27;0,4135
1102;51,99;24,7;9,7;12,76;0,354
1102;51,99;24,7;10,9;12,22;0,3225
1102;51,99;24,7;12,1;11,62;0,3015
1102;51,99;24,7;13,3;10,95;0,305
1102;51,99;24,7;14,5;10,31;0,324
1102;51,99;24,7;15,7;9,36;0,273
1102;51,99;24,7;16,9;8,82;0,251
1102;51,99;24,7;18,1;8,15;0,2705
1102;51,99;24,7;19,3;7,1;0,2525
1102;51,99;24,7;20,5;6,05;0,2435
1102;51,99;24,7;21,7;4,68;0,1965
1102;51,99;24,7;22,9;3,25;0,1695
1102;51,99;24,7;24,1;0,83;0,1015
1173;52,31;23,7;0,1;21,01;0,999
1103;40,81;22,55;0,1;15,41;0,8515
1173;52,31;23,7;0,7;17,6;0,745
1103;40,81;22,55;0,7;13,27;0,623
1173;52,31;23,7;1,3;16,65;0,689
1103;40,81;22,55;1,3;12,99;0,6185
1103;40,81;22,55;2,5;12,73;0,5975
1173;52,31;23,7;2,5;15,85;0,512
1173;52,31;23,7;3,7;14,8;0,352
1103;40,81;22,55;3,7;11,94;0,3985
1173;52,31;23,7;4,9;14,64;0,358
1103;40,81;22,55;4,9;11,55;0,408
1103;40,81;22,55;6,1;11,11;0,3685
1173;52,31;23,7;6,1;13,94;0,307
1173;52,31;23,7;7,3;13,69;0,302
1103;40,81;22,55;7,3;10,57;0,303
1103;40,81;22,55;8,5;10,06;0,292
1173;52,31;23,7;8,5;12,8;0,282
1173;52,31;23,7;9,7;12,48;0,28
1103;40,81;22,55;9,7;9,77;0,2845
1103;40,81;22,55;10,9;8,98;0,2365
1173;52,31;23,7;10,9;12,25;0,296
1173;52,31;23,7;12,1;10,92;0,267
1103;40,81;22,55;12,1;8,28;0,2315
1173;52,31;23,7;13,3;10,22;0,257
1103;40,81;22,55;13,3;7,93;0,241
1103;40,81;22,55;14,5;7,32;0,2395
1173;52,31;23,7;14,5;9,39;0,233
1173;52,31;23,7;15,7;8,82;0,276
1103;40,81;22,55;15,7;6,53;0,2305
1173;52,31;23,7;16,9;8,21;0,239
1103;40,81;22,55;16,9;6,18;0,213
1103;40,81;22,55;18,1;5,25;0,2055
1173;52,31;23,7;18,1;7,29;0,24
1173;52,31;23,7;19,3;6,46;0,298
