"idamostra";"idade1";"hdom1";"licl5";"lscl5";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
70;41,79;20,76;14,0869275693373;16,2309044190985;18,4771678905573;20,821660913047;23,2607880388579;25,7913335366494;3;2;3
70;55,22;23,3;18,1284800354036;20,3203481377078;22,5571505898756;24,8360288435549;27,1545105051775;29,5104334368561;3;2;3
70;67,18;25,3;21,0092480697744;23,1733805814607;25,3481519176559;27,5327391581778;29,7264406122603;31,9286506593514;4;2;4
71;41,79;19,9;14,0869275693373;16,2309044190985;18,4771678905573;20,821660913047;23,2607880388579;25,7913335366494;3;1;3
71;55,22;23,02;18,1284800354036;20,3203481377078;22,5571505898756;24,8360288435549;27,1545105051775;29,5104334368561;3;1;3
71;67,18;24,94;21,0092480697744;23,1733805814607;25,3481519176559;27,5327391581778;29,7264406122603;31,9286506593514;4;1;4
72;28,68;14,06;9,07257426585882;10,9676529089917;13,0463471366935;15,3093087788399;17,7571405121475;20,3904028913037;3;1;3
72;46,06;20,02;15,4802020494868;17,6535601863516;19,9083162995624;22,240507226372;24,6466525447793;27,1236654448114;3;1;3
72;58,38;25,54;18,9470492708611;21,135758911566;23,3590692643894;25,6146361391076;27,9004406421623;30,2147241645146;3;1;3
72;65,05;27,16;20,5372167715607;22,7089811860325;24,8966036551058;27,0988909041664;29,3148232117984;31,5435186837109;2;1;2
73;46,06;21,04;15,4802020494868;17,6535601863516;19,9083162995624;22,240507226372;24,6466525447793;27,1236654448114;3;1;3
73;58,38;24,86;18,9470492708611;21,135758911566;23,3590692643894;25,6146361391076;27,9004406421623;30,2147241645146;3;1;3
73;65,05;27,68;20,5372167715607;22,7089811860325;24,8966036551058;27,0988909041664;29,3148232117984;31,5435186837109;2;1;2
74;28,42;13,06;8,96151894162047;10,8479735647817;12,9198660841663;15,1780840794159;17,6234491730847;20,2567264007317;3;1;3
74;45,8;15,72;15,3984506310626;17,5704830203983;19,82510868746;22,1583479392939;24,5667040516319;27,0470742925182;5;1;5
74;58,11;18,88;18,8788374951665;21,0679594328765;23,2925256124554;25,5501466361348;27,8387639595152;30,1565838579952;5;1;5
74;64,78;21,14;20,4762072444564;22,6488735694972;24,8380841197752;27,0425985500453;29,2613566097729;31,4934411102105;5;1;5
75;45,8;20;15,3984506310626;17,5704830203983;19,82510868746;22,1583479392939;24,5667040516319;27,0470742925182;3;0;3
75;58,11;23,48;18,8788374951665;21,0679594328765;23,2925256124554;25,5501466361348;27,8387639595152;30,1565838579952;3;0;3
75;64,78;26;20,4762072444564;22,6488735694972;24,8380841197752;27,0425985500453;29,2613566097729;31,4934411102105;3;0;3
76;25,46;15,16;7,66848402062167;9,44197440760989;11,4216857320526;13,6118573916487;16,016473034055;18,6392936890152;2;1;2
76;42,84;21,42;14,4397398674879;16,5925530928326;18,8422627324257;21,1847953741621;23,6165496891643;26,1343117751271;2;1;2
76;55,16;26,42;18,112499249882;20,3043895638305;22,5414205177682;24,8207241743094;27,1398198080325;29,496537824185;2;1;2
76;61,83;29,72;19,7916594636361;21,9730897967387;24,1789443604618;26,4074691433582;28,6571598805598;30,9267113289993;1;1;1
77;42,84;21,94;14,4397398674879;16,5925530928326;18,8422627324257;21,1847953741621;23,6165496891643;26,1343117751271;2;0;2
77;55,16;24,84;18,112499249882;20,3043895638305;22,5414205177682;24,8207241743094;27,1398198080325;29,496537824185;2;0;2
77;61,83;27,3;19,7916594636361;21,9730897967387;24,1789443604618;26,4074691433582;28,6571598805598;30,9267113289993;2;0;2
78;26,68;17,82;8,2075825763767;10,031088325891;12,0522709467011;14,2738290869714;16,6982820724955;19,3279941199637;1;2;1
